name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
Rampur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rampura_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rampura_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rangamati_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rangpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Raozan_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rooppur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Saidpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sathia_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Satkhira_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Satmasjid_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Savar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Shahjadpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Shahjibazar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Shahjibazar_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Shahmirpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Shariatpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sherpur(B)_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sherpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sholoshahar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Shyampur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Shyampur_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
