name,fuel,producer,unit_config,installed_mw,present_mw,actual_day_peak_mw,actual_evening_peak_mw,forecast_day_peak_mw,forecast_evening_peak_mw,remarks,p2_evening_peak_mw,p2_energy_kwh,p2_remarks
Sreepur 150 MW PP BRPL,HFO,PDB-RPCL,9*18,0.0,160.0,34.0,108.0,143.0,143.0,Liquid fuel shortage,108.0,2298000.0,Liquid fuel shortage
Summit Power Ashulia,Gas,IPP,,80.0,33.75,16.5,15.5,33.0,33.0,Low gas pressure,15.5,394800.0,Low gas pressure
Summit Power Madhabdi,Gas,IPP,3*3.67+4*8.73,80.0,23.0,21.0,21.0,22.0,22.0,-,21.0,492120.0,-
Sutiakhali 50 MW Solar PP,Solar,IPP,,50.0,50.0,43.49,0.0,48.0,0.0,-,0.0,142470.0,-
Sylhet 20 MW GTPP,Gas,PDB,1*20,20.0,20.0,0.0,0.0,20.0,20.0,-,0.0,0.0,-
Sylhet 225 MW CCPP,Gas,PDB,1*142+1*89,231.0,231.0,101.0,101.0,102.0,102.0,ST Under Maintenance,101.0,2414770.0,ST Under Maintenance
Sympa Solar Power 8 MW,Solar,IPP,,8.0,8.0,2.6,0.0,6.0,0.0,-,0.0,39833.16,-
Tangail Palli Power Gen 22 MW,HFO,IPP,4*6.7,22.0,22.0,0.0,0.0,22.0,22.0,Liquid fuel shortage,0.0,42240.0,Liquid fuel shortage
Teesta Solar Limited,Solar,BCPCL,,200.0,200.0,171.0,0.0,181.39,0.0,-,0.0,1159920.0,-
Teknaf 20MW PP (Solartech),Solar,IPP,,20.0,20.0,5.0,0.0,16.0,0.0,-,0.0,51570.0,-
Titas 50 MW Peaking PP,HFO,PDB,6*8.92,52.0,52.0,24.0,23.0,32.0,32.0,Engine Problem,23.0,460336.0,Engine Problem
Tongi 80 MW GTPP,Gas,PDB,1* 105,105.0,105.0,0.0,0.0,0.0,0.0,Under Maintenance of Exciter,0.0,0.0,Under Maintenance of Exciter
Unique Meghnaghat Power Limited (UMPL),Gas,IPP,,584.0,584.0,520.0,440.0,584.0,584.0,AGC+Gas shortage,440.0,10751818.18,AGC+Gas shortage
United Payra Power Ltd.,HFO,IPP,8*18.5+1*9.5,150.0,150.0,0.0,35.0,150.0,150.0,Liquid fuel shortage,35.0,205200.0,Liquid fuel shortage
