place,class,voltages,bus_names,lat,lon,matched_name,osm_id,feature_power,score,confidence,status,source,note
MeghnaghatRentalPP,plant,132,MeghnaghatRentalPP_132kV,23.611268,90.6006013,Meghnaghat,way/210729643,substation,89.6,high,accepted,osm,
Mirpur,town,132,Mirpur_132kV,23.8303074,90.359787,Mirpur 132,way/147998681,substation,100.0,high,accepted,osm,
Mirsarai,plant,230,Mirsarai_230kV,22.755501,91.4549279,Mirsarai,way/1041851969,substation,100.0,high,accepted,osm,
Mirzapur,town,132,Mirzapur_132kV,24.1103371,90.0820194,Mirzapur,way/1382285763,substation,100.0,high,accepted,osm,
Mithapukur,town,132,Mithapukur_132kV,25.5250907,89.2869265,Mithapukur,way/1382233807,substation,100.0,high,accepted,osm,
Moghbazar,town,132,Moghbazar_132kV,22.1530614,92.0715342,Dohazari,way/210993421,substation,70.6,low,unresolved,osm,
Mongla,plant,132,Mongla_132kV,22.5059495,89.5949424,Mangla,way/274387968,substation,100.0,high,accepted,osm,
Motijheel,town,132,Motijheel_132kV,,,,,,,none,unresolved,osm,
Muktagacha,town,132,Muktagacha_132kV,24.7695735,90.3025321,Muktagacha,way/1382333731,substation,100.0,high,accepted,osm,
Munshiganj,plant,132,Munshiganj_132kV,23.5733846,90.4903118,Banco Energy Kamalaghat Power Plant,way/1046915375,plant,100.0,high,accepted,osm,
Muradnagar,town,132,Muradnagar_132kV,26.5378454,88.6461382,Raninagar 33,way/829264888,substation,73.7,low,unresolved,osm,
Mymensingh,plant,132,Mymensingh_132kV,24.7342645,90.4213959,Mymensingh,way/340562386,substation,100.0,high,accepted,osm,constrained re-match (3 discs)
Nabinagar,town,132,Nabinagar_132kV,26.5378454,88.6461382,Raninagar 33,way/829264888,substation,77.8,medium,reopened,osm,ambiguous: near-tied candidates far apart
Naogaon,plant,132,Naogaon_132kV,24.7973333,88.9838542,Santahar Peaking Power Plant,way/413308918,plant,100.0,high,accepted,osm,
Narail,town,132,Narail_132kV,23.1786283,89.5546434,Narail,way/1043456926,substation,100.0,high,accepted,osm,
Narinda,town,132,Narinda_132kV,23.9137935,90.7040716,Narsingdi,way/390935839,substation,75.0,medium,reopened,osm,
Narsingdi,plant,132,Narsingdi_132kV,23.9137935,90.7040716,Narsingdi,way/390935839,substation,100.0,high,reopened,osm,constrained re-match (2 discs)
Natore,plant,132,Natore_132kV,24.4114328,89.0087356,Natore 132,way/354584219,substation,100.0,high,accepted,osm,constrained re-match (1 discs)
Nawabganj,town,132,Nawabganj_132kV,23.6478522,90.1187601,Nawabganj 132,way/957155220,substation,100.0,high,accepted,osm,
Netrokona,town,132,Netrokona_132kV,24.8669335,90.6988092,Netrokona,way/210993434,substation,100.0,high,accepted,osm,
NewTongi,town,132,NewTongi_132kV,23.8974932,90.413387,Tongi Power Plant,way/147998586,plant,100.0,high,accepted,osm,
Niamatpur,town,132,Niamatpur_132kV,24.8339795,88.5841206,Niamotpur,way/413308915,substation,88.9,high,accepted,osm,constrained re-match (1 discs)
Noapara,town,132,Noapara_132kV,23.0237878,89.4056992,Noapara,way/534840823,substation,100.0,high,accepted,osm,constrained re-match (2 discs)
NoaparaPP,plant,132,NoaparaPP_132kV,23.0237878,89.4056992,Noapara,way/534840823,substation,100.0,high,accepted,osm,
PHP,industrial,132,PHP_132kV,22.5379099,91.7034373,GPH,way/1382553143,substation,66.7,low,unresolved,osm,
Pabna,town,132,Pabna_132kV,24.0242682,89.2343121,Pabna,way/148142829,substation,100.0,high,accepted,osm,
Pabna64MWSolarPP,plant,132,Pabna64MWSolarPP_132kV,24.0242682,89.2343121,Pabna,way/148142829,substation,85.0,medium,reopened,osm,
Palashbari,town,132,Palashbari_132kV,25.2771301,89.3500602,Palashbari,way/354100535,substation,100.0,high,accepted,osm,
Panchagarh,plant,132,Panchagarh_132kV,26.3537823,88.5567057,Panchagarh,way/354100536,substation,100.0,high,accepted,osm,constrained re-match (1 discs)
Patiya,town,132,Patiya_132kV,21.9981058,90.3010833,Payra,way/1040883474,substation,72.7,low,unresolved,osm,
Patuakhali,plant,132,Patuakhali_132kV,22.358935,90.3178568,Patuakhali,way/274387974,substation,100.0,high,accepted,osm,
Payra,town,132|400,Payra_132kV|Payra_400kV,21.9981058,90.3010833,Payra,way/1040883474,substation,100.0,high,accepted,osm,
PayraPP,plant,400,PayraPP_400kV,21.9981058,90.3010833,Payra,way/1040883474,substation,100.0,high,accepted,osm,
Postogola,town,132,Postogola_132kV,,,,,,,none,unresolved,osm,
Pubail,town,132,Pubail_132kV,23.9350222,90.4969448,Pubail,way/1382322202,substation,100.0,high,accepted,osm,
Purbachal,plant,132,Purbachal_132kV,23.8201078,90.5480531,Kanchan Purbachal Power Generation,way/1046915372,plant,100.0,high,accepted,osm,
Purbasadipur,town,132|230,Purbasadipur_132kV|Purbasadipur_230kV,25.7545051,88.6789115,Purbasadipur,way/354100538,substation,100.0,high,accepted,osm,
RNPL,plant,400,RNPL_400kV,22.0242358,90.3092683,Patuakhali power station (RPCL,way/1502693819,plant,93.3,high,accepted,osm,constrained re-match (1 discs)
RNPP,plant,230|400,RNPP_230kV|RNPP_400kV,,,,,,,none,unresolved,osm,
RPCLPP,plant,132,RPCLPP_132kV,24.7611033,90.4195174,RPCL,way/210993457,substation,100.0,high,accepted,osm,
