400 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,,,"Length in
Route km",,,"Length in
Ckt. Km",,,"No. of
Ckt.",,,Conductor,,
129,Ashuganj-Shahjibazar,53.0,53.0,Single,,Grosbeak,,,636 MCM,,,,,,
130,Khulna (S) -Gallamari,4,8,Double,,Grosbeak,,,636 MCM,,,,,,
131,Naogaon-Niyamatpur,46.0,46.0,Single,,AAAC,,,804 MCM,,,,,,
132,Aminbazar-Savar,16,32,Double,,Grosbeak,,,636 MCM,,,,,,
133,Jhenaidah-Magura,27,53.0,Double,,Grosbeak,,,636 MCM,,,,,,
134,Jhenaidah-Chuadanga,39,39,Single,,Grosbeak,,,636 MCM,,,,,,
135,Naogaon-Joypurhat,46,46,Single,,Grosbeak,,,636 MCM,,,,,,
136,Thakurgaon-Panchagarh,45.0,45.0,Single,,AAAC,,,636 MCM,,,,,,
137,Sonargaon S/S to Megnaghat Rental PP,5.0,10,Double,,Grosbeak,,,636 MCM,,,,,,
138,Shiddhirganj to Siddhirganj Dutch Bangla PP,2,2,Single,,Grosbeak,,,636 MCM,,,,,,
139,Goalpara-Khulna ©,2,2,Single,,XLPE,,,637 MCM,,,,,,
140,Noapara PP to Noapara Ss,2,2,Single,,Grosbeak,,,638 MCM,,,,,,
141,Daudkandi PP to Daudkandi ss,1,1,Single,,Grosbeak,,,639 MCM,,,,,,
142,Gopalganj PP to Gopalganj ss,1,1,Single,,Grosbeak,,,640 MCM,,,,,,
143,Shiddhirganj desh energy PP to Siddhirganj ss,3,3,Single,,Grosbeak,,,641 MCM,,,,,,
144,Faridpur PP to Faridpur -Bheramara,1.0,1.0,Single,,Grosbeak,,,642 MCM,,,,,,
145,Bera PP to Baghabari -Ishwardi line,5,5,Single,,Grosbeak,,,643 MCM,,,,,,
146,Amnura PP to Rajshahi-Chapai,13,13,Single,,Grosbeak,,,644 MCM,,,,,,
147,Madanganj-Munsiganj,4.0,8,Double,,Grosbeak,,,645 MCM,,,,,,
148,Old Airport-Cantonment,7.0,14,Double,,XLPE,,,800 sq.mm,,,,,,
149,Fenchuganj- Kulaura,25.0,50,Double,,Grosbeak,,,636 MCM,,,,,,
150,Jamalpur- Sherpur,20.0,40,Double,,Grosbeak,,,636 MCM,,,,,,
151,Old Airport-Sajmasjid,8,17,Double,,XLPE,,,800 sq.mm,,,,,,
152,Rampura-Madertek,5,9,Double,,XLPE,,,500 sq.mm,,,,,,
153,Comilla(N)- Comilla(S),19.0,38,Double,,Grosbeak,,,636 MCM,,,,,,
154,Goalpara-Bagerhat,45.0,90,Double,,Grosbeak,,,636 MCM,,,,,,
155,LILO of Kabirpur-Tangail at Kaliakoir,4,17,Four,,"ACCC/ACSR
Grosbeak",,,636 MCM,,,,,,
156,Tangail-RPCL,93,187,Double,,Grosbeak,,,636 MCM,,,,,,
